date,weight_kg
2018-06-08,85.2
2018-06-09,85.2
2018-06-10,85.2
2018-06-11,85.3
2018-06-12,85.3
2018-06-13,85.3
2018-06-14,85.3
2018-06-15,85.4
2018-06-16,85.4
2018-06-17,85.4
2018-06-18,85.5
2018-06-19,85.5
2018-06-20,85.5
2018-06-21,85.6
2018-06-22,85.6
2018-06-23,85.7
2018-06-24,85.7
2018-06-25,85.7
2018-06-26,85.8
2018-06-27,85.8
2018-06-28,85.9
2018-06-29,85.9
2018-06-30,86.0
2018-07-01,86.0
2018-07-02,86.1
2018-07-03,86.1
2018-07-04,86.2
2018-07-05,86.2
2018-07-06,86.3
2018-07-07,86.3
2018-07-08,86.3
2018-07-09,86.4
2018-07-10,86.4
2018-07-11,86.5
2018-07-12,86.5
2018-07-13,86.5
2018-07-14,86.6
2018-07-15,86.6
2018-07-16,86.7
2018-07-17,86.7
2018-07-18,86.7
2018-07-19,86.8
2018-07-20,86.8
2018-07-21,86.8
2018-07-22,86.9
2018-07-23,86.9
2018-07-24,86.9
2018-07-25,87.0
2018-07-26,87.0
2018-07-27,87.0
2018-07-28,87.1
2018-07-29,87.1
2018-07-30,87.1
2018-07-31,87.1
2018-08-01,87.2
2018-08-02,87.2
2018-08-03,87.2
2018-08-04,87.3
2018-08-05,87.3
2018-08-06,87.3
2018-08-07,87.3
2018-08-08,87.4
2018-08-09,87.4
2018-08-10,87.4
2018-08-11,87.5
2018-08-12,87.5
2018-08-13,87.5
2018-08-14,87.5
2018-08-15,87.6
2018-08-16,87.6
2018-08-17,87.6
2018-08-18,87.6
2018-08-19,87.6
2018-08-20,87.7
2018-08-21,87.7
2018-08-22,87.7
2018-08-23,87.7
2018-08-24,87.7
2018-08-25,87.8
2018-08-26,87.8
2018-08-27,87.8
2018-08-28,87.8
2018-08-29,87.8
2018-08-30,87.8
2018-08-31,87.8
2018-09-01,87.9
2018-09-02,87.9
2018-09-03,87.9
2018-09-04,87.9
2018-09-05,87.9
2018-09-06,87.9
2018-09-07,87.9
2018-09-08,87.9
2018-09-09,87.9
2018-09-10,87.9
2018-09-11,87.9
2018-09-12,88.0
2018-09-13,88.0
2018-09-14,88.0
2018-09-15,88.0
2018-09-16,88.0
2018-09-17,88.0
2018-09-18,88.0
2018-09-19,88.0
2018-09-20,88.0
2018-09-21,88.0
2018-09-22,88.0
2018-09-23,88.0
2018-09-24,88.1
2018-09-25,88.1
2018-09-26,88.1
2018-09-27,88.1
2018-09-28,88.1
2018-09-29,88.1
2018-09-30,88.1
2018-10-01,88.1
2018-10-02,88.1
2018-10-03,88.1
2018-10-04,88.1
2018-10-05,88.2
2018-10-06,88.2
2018-10-07,88.2
2018-10-08,88.2
2018-10-09,88.2
2018-10-10,88.2
2018-10-11,88.2
2018-10-12,88.2
2018-10-13,88.2
2018-10-14,88.3
2018-10-15,88.3
2018-10-16,88.3
2018-10-17,88.3
2018-10-18,88.3
2018-10-19,88.3
2018-10-20,88.3
2018-10-21,88.3
2018-10-22,88.4
2018-10-23,88.4
2018-10-24,88.4
2018-10-25,88.4
2018-10-26,88.4
2018-10-27,88.4
2018-10-28,88.4
2018-10-29,88.4
2018-10-30,88.4
2018-10-31,88.4
2018-11-01,88.5
2018-11-02,88.5
2018-11-03,88.5
2018-11-04,88.5
2018-11-05,88.5
2018-11-06,88.5
2018-11-07,88.5
2018-11-08,88.5
2018-11-09,88.5
2018-11-10,88.5
2018-11-11,88.5
2018-11-12,88.5
2018-11-13,88.5
2018-11-14,88.5
2018-11-15,88.5
2018-11-16,88.5
2018-11-17,88.5
2018-11-18,88.5
2018-11-19,88.5
2018-11-20,88.5
2018-11-21,88.5
2018-11-22,88.5
2018-11-23,88.5
2018-11-24,88.5
2018-11-25,88.5
2018-11-26,88.5
2018-11-27,88.5
2018-11-28,88.5
2018-11-29,88.5
2018-11-30,88.5
2018-12-01,88.5
2018-12-02,88.5
2018-12-03,88.5
2018-12-04,88.5
2018-12-05,88.5
2018-12-06,88.5
2018-12-07,88.5
2018-12-08,88.5
2018-12-09,88.5
2018-12-10,88.5
2018-12-11,88.5
2018-12-12,88.5
2018-12-13,88.5
2018-12-14,88.5
2018-12-15,88.5
2018-12-16,88.5
2018-12-17,88.5
2018-12-18,88.5
2018-12-19,88.5
2018-12-20,88.5
2018-12-21,88.5
2018-12-22,88.5
2018-12-23,88.5
2018-12-24,88.5
2018-12-25,88.5
2018-12-26,88.6
2018-12-27,88.6
2018-12-28,88.6
2018-12-29,88.6
2018-12-30,88.6
2018-12-31,88.6
2019-01-01,88.6
2019-01-02,88.6
2019-01-03,88.6
2019-01-04,88.6
2019-01-05,88.6
2019-01-06,88.6
2019-01-07,88.6
2019-01-08,88.6
2019-01-09,88.6
2019-01-10,88.6
2019-01-11,88.6
2019-01-12,88.6
2019-01-13,88.6
2019-01-14,88.6
2019-01-15,88.6
2019-01-16,88.6
2019-01-17,88.6
2019-01-18,88.6
2019-01-19,88.6
2019-01-20,88.6
2019-01-21,88.6
2019-01-22,88.6
2019-01-23,88.6
2019-01-24,88.5
2019-01-25,88.5
2019-01-26,88.5
2019-01-27,88.5
2019-01-28,88.5
2019-01-29,88.5
2019-01-30,88.5
2019-01-31,88.5
2019-02-01,88.5
2019-02-02,88.5
2019-02-03,88.5
2019-02-04,88.5
2019-02-05,88.5
2019-02-06,88.5
2019-02-07,88.5
2019-02-08,88.5
2019-02-09,88.5
2019-02-10,88.5
2019-02-11,88.5
2019-02-12,88.5
2019-02-13,88.5
2019-02-14,88.5
2019-02-15,88.5
2019-02-16,88.5
2019-02-17,88.5
2019-02-18,88.5
2019-02-19,88.5
2019-02-20,88.5
2019-02-21,88.6
2019-02-22,88.6
2019-02-23,88.6
2019-02-24,88.6
2019-02-25,88.6
2019-02-26,88.7
2019-02-27,88.7
2019-02-28,88.7
2019-03-01,88.7
2019-03-02,88.8
2019-03-03,88.8
2019-03-04,88.8
2019-03-05,88.8
2019-03-06,88.9
2019-03-07,88.9
2019-03-08,88.9
2019-03-09,88.9
2019-03-10,89.0
2019-03-11,89.0
2019-03-12,89.0
2019-03-13,89.0
2019-03-14,89.1
2019-03-15,89.1
2019-03-16,89.1
2019-03-17,89.1
2019-03-18,89.1
2019-03-19,89.2
2019-03-20,89.2
2019-03-21,89.2
2019-03-22,89.2
2019-03-23,89.2
2019-03-24,89.2
2019-03-25,89.3
2019-03-26,89.3
2019-03-27,89.3
2019-03-28,89.3
2019-03-29,89.3
2019-03-30,89.3
2019-03-31,89.3
2019-04-01,89.3
2019-04-02,89.4
2019-04-03,89.4
2019-04-04,89.4
2019-04-05,89.4
2019-04-06,89.4
2019-04-07,89.4
2019-04-08,89.4
2019-04-09,89.4
2019-04-10,89.4
2019-04-11,89.5
2019-04-12,89.5
2019-04-13,89.5
2019-04-14,89.5
2019-04-15,89.5
2019-04-16,89.5
2019-04-17,89.6
2019-04-18,89.6
2019-04-19,89.6
2019-04-20,89.6
2019-04-21,89.6
2019-04-22,89.7
2019-04-23,89.7
2019-04-24,89.7
2019-04-25,89.7
2019-04-26,89.8
2019-04-27,89.8
2019-04-28,89.8
2019-04-29,89.8
2019-04-30,89.9
2019-05-01,89.9
2019-05-02,89.9
2019-05-03,90.0
2019-05-04,90.0
2019-05-05,90.0
2019-05-06,90.1
2019-05-07,90.1
2019-05-08,90.1
2019-05-09,90.2
2019-05-10,90.2
2019-05-11,90.2
2019-05-12,90.3
2019-05-13,90.3
2019-05-14,90.3
2019-05-15,90.4
2019-05-16,90.4
2019-05-17,90.4
2019-05-18,90.5
2019-05-19,90.5
2019-05-20,90.5
2019-05-21,90.6
2019-05-22,90.6
2019-05-23,90.6
2019-05-24,90.6
2019-05-25,90.7
2019-05-26,90.7
2019-05-27,90.7
2019-05-28,90.8
2019-05-29,90.8
2019-05-30,90.8
2019-05-31,90.8
2019-06-01,90.9
2019-06-02,90.9
2019-06-03,90.9
2019-06-04,90.9
2019-06-05,91.0
2019-06-06,91.0
2019-06-07,91.0
2019-06-08,91.0
2019-06-09,91.1
2019-06-10,91.1
2019-06-11,91.1
2019-06-12,91.1
2019-06-13,91.2
2019-06-14,91.2
2019-06-15,91.2
2019-06-16,91.2
2019-06-17,91.2
2019-06-18,91.3
2019-06-19,91.3
2019-06-20,91.3
2019-06-21,91.3
2019-06-22,91.4
2019-06-23,91.4
2019-06-24,91.4
2019-06-25,91.4
2019-06-26,91.4
2019-06-27,91.5
2019-06-28,91.5
2019-06-29,91.5
2019-06-30,91.5
2019-07-01,91.5
2019-07-02,91.5
2019-07-03,91.6
2019-07-04,91.6
2019-07-05,91.6
2019-07-06,91.6
2019-07-07,91.6
2019-07-08,91.6
2019-07-09,91.6
2019-07-10,91.7
2019-07-11,91.7
2019-07-12,91.7
2019-07-13,91.7
2019-07-14,91.7
2019-07-15,91.7
2019-07-16,91.7
2019-07-17,91.7
2019-07-18,91.8
2019-07-19,91.8
2019-07-20,91.8
2019-07-21,91.8
2019-07-22,91.8
2019-07-23,91.8
2019-07-24,91.8
2019-07-25,91.8
2019-07-26,91.8
2019-07-27,91.8
2019-07-28,91.9
2019-07-29,91.9
2019-07-30,91.9
2019-07-31,91.9
2019-08-01,91.9
2019-08-02,91.9
2019-08-03,91.9
2019-08-04,91.9
2019-08-05,92.0
2019-08-06,92.0
2019-08-07,92.0
2019-08-08,92.0
2019-08-09,92.0
2019-08-10,92.0
2019-08-11,92.0
2019-08-12,92.0
2019-08-13,92.1
2019-08-14,92.1
2019-08-15,92.1
2019-08-16,92.1
2019-08-17,92.1
2019-08-18,92.1
2019-08-19,92.1
2019-08-20,92.1
2019-08-21,92.2
2019-08-22,92.2
2019-08-23,92.2
2019-08-24,92.2
2019-08-25,92.2
2019-08-26,92.2
2019-08-27,92.2
2019-08-28,92.2
2019-08-29,92.2
2019-08-30,92.3
2019-08-31,92.3
2019-09-01,92.3
2019-09-02,92.3
2019-09-03,92.3
2019-09-04,92.3
2019-09-05,92.3
2019-09-06,92.3
2019-09-07,92.3
2019-09-08,92.3
2019-09-09,92.3
2019-09-10,92.3
2019-09-11,92.3
2019-09-12,92.3
2019-09-13,92.3
2019-09-14,92.3
2019-09-15,92.3
2019-09-16,92.3
2019-09-17,92.3
2019-09-18,92.3
2019-09-19,92.3
2019-09-20,92.3
2019-09-21,92.3
2019-09-22,92.3
2019-09-23,92.3
2019-09-24,92.3
2019-09-25,92.3
2019-09-26,92.2
2019-09-27,92.2
2019-09-28,92.2
2019-09-29,92.2
2019-09-30,92.2
2019-10-01,92.2
2019-10-02,92.2
2019-10-03,92.2
2019-10-04,92.2
2019-10-05,92.2
2019-10-06,92.2
2019-10-07,92.1
2019-10-08,92.1
2019-10-09,92.1
2019-10-10,92.1
2019-10-11,92.1
2019-10-12,92.1
2019-10-13,92.1
2019-10-14,92.1
2019-10-15,92.0
2019-10-16,92.0
2019-10-17,92.0
2019-10-18,92.0
2019-10-19,92.0
2019-10-20,92.0
2019-10-21,92.0
2019-10-22,92.0
2019-10-23,91.9
2019-10-24,91.9
2019-10-25,91.9
2019-10-26,91.9
2019-10-27,91.9
2019-10-28,91.9
2019-10-29,91.9
2019-10-30,91.9
2019-10-31,91.9
2019-11-01,91.8
2019-11-02,91.8
2019-11-03,91.8
2019-11-04,91.8
2019-11-05,91.8
2019-11-06,91.8
2019-11-07,91.8
2019-11-08,91.8
2019-11-09,91.8
2019-11-10,91.8
2019-11-11,91.8
2019-11-12,91.8
2019-11-13,91.7
2019-11-14,91.7
2019-11-15,91.7
2019-11-16,91.7
2019-11-17,91.7
2019-11-18,91.7
2019-11-19,91.7
2019-11-20,91.7
2019-11-21,91.7
2019-11-22,91.7
2019-11-23,91.7
2019-11-24,91.7
2019-11-25,91.7
2019-11-26,91.7
2019-11-27,91.7
2019-11-28,91.7
2019-11-29,91.7
2019-11-30,91.7
2019-12-01,91.7
2019-12-02,91.7
2019-12-03,91.7
2019-12-04,91.7
2019-12-05,91.7
2019-12-06,91.7
2019-12-07,91.7
2019-12-08,91.7
2019-12-09,91.7
2019-12-10,91.7
2019-12-11,91.7
2019-12-12,91.7
2019-12-13,91.7
2019-12-14,91.6
2019-12-15,91.6
2019-12-16,91.6
2019-12-17,91.6
2019-12-18,91.6
2019-12-19,91.6
2019-12-20,91.6
2019-12-21,91.6
2019-12-22,91.6
2019-12-23,91.7
2019-12-24,91.7
2019-12-25,91.7
2019-12-26,91.7
2019-12-27,91.7
2019-12-28,91.7
2019-12-29,91.7
2019-12-30,91.7
2019-12-31,91.7
2020-01-01,91.7
2020-01-02,91.7
2020-01-03,91.7
2020-01-04,91.7
2020-01-05,91.7
2020-01-06,91.7
2020-01-07,91.8
2020-01-08,91.8
2020-01-09,91.8
2020-01-10,91.8
2020-01-11,91.8
2020-01-12,91.9
2020-01-13,91.9
2020-01-14,91.9
2020-01-15,92.0
2020-01-16,92.0
2020-01-17,92.0
2020-01-18,92.1
2020-01-19,92.1
2020-01-20,92.1
2020-01-21,92.2
2020-01-22,92.2
2020-01-23,92.3
2020-01-24,92.4
2020-01-25,92.4
2020-01-26,92.5
2020-01-27,92.5
2020-01-28,92.6
2020-01-29,92.7
2020-01-30,92.7
2020-01-31,92.8
2020-02-01,92.9
2020-02-02,93.0
2020-02-03,93.0
2020-02-04,93.1
2020-02-05,93.2
2020-02-06,93.3
2020-02-07,93.3
2020-02-08,93.4
2020-02-09,93.5
2020-02-10,93.6
2020-02-11,93.7
2020-02-12,93.7
2020-02-13,93.8
2020-02-14,93.9
2020-02-15,94.0
2020-02-16,94.1
2020-02-17,94.1
2020-02-18,94.2
2020-02-19,94.3
2020-02-20,94.3
2020-02-21,94.4
2020-02-22,94.5
2020-02-23,94.5
2020-02-24,94.6
2020-02-25,94.7
2020-02-26,94.7
2020-02-27,94.8
2020-02-28,94.8
2020-02-29,94.9
2020-03-01,94.9
2020-03-02,94.9
2020-03-03,95.0
2020-03-04,95.0
2020-03-05,95.0
2020-03-06,95.1
2020-03-07,95.1
2020-03-08,95.1
2020-03-09,95.1
2020-03-10,95.1
2020-03-11,95.2
2020-03-12,95.2
2020-03-13,95.2
2020-03-14,95.2
2020-03-15,95.2
2020-03-16,95.2
2020-03-17,95.2
2020-03-18,95.2
2020-03-19,95.2
2020-03-20,95.2
2020-03-21,95.2
2020-03-22,95.2
2020-03-23,95.1
2020-03-24,95.1
2020-03-25,95.1
2020-03-26,95.1
2020-03-27,95.1
2020-03-28,95.1
2020-03-29,95.1
2020-03-30,95.0
2020-03-31,95.0
2020-04-01,95.0
2020-04-02,95.0
2020-04-03,95.0
2020-04-04,95.0
2020-04-05,94.9
2020-04-06,94.9
2020-04-07,94.9
2020-04-08,94.9
2020-04-09,94.8
2020-04-10,94.8
2020-04-11,94.8
2020-04-12,94.8
2020-04-13,94.8
2020-04-14,94.7
2020-04-15,94.7
2020-04-16,94.7
2020-04-17,94.7
2020-04-18,94.6
2020-04-19,94.6
2020-04-20,94.6
2020-04-21,94.6
2020-04-22,94.5
2020-04-23,94.5
2020-04-24,94.5
2020-04-25,94.5
2020-04-26,94.4
2020-04-27,94.4
2020-04-28,94.4
2020-04-29,94.3
2020-04-30,94.3
2020-05-01,94.3
2020-05-02,94.3
2020-05-03,94.2
2020-05-04,94.2
2020-05-05,94.2
2020-05-06,94.1
2020-05-07,94.1
2020-05-08,94.1
2020-05-09,94.1
2020-05-10,94.0
2020-05-11,94.0
2020-05-12,94.0
2020-05-13,93.9
2020-05-14,93.9
2020-05-15,93.9
2020-05-16,93.9
2020-05-17,93.8
2020-05-18,93.8
2020-05-19,93.8
2020-05-20,93.7
2020-05-21,93.7
2020-05-22,93.7
2020-05-23,93.7
2020-05-24,93.6
2020-05-25,93.6
2020-05-26,93.6
2020-05-27,93.6
2020-05-28,93.5
2020-05-29,93.5
2020-05-30,93.5
2020-05-31,93.5
2020-06-01,93.5
2020-06-02,93.5
2020-06-03,93.5
2020-06-04,93.5
2020-06-05,93.5
2020-06-06,93.5
2020-06-07,93.5
2020-06-08,93.5
2020-06-09,93.5
2020-06-10,93.6
2020-06-11,93.6
2020-06-12,93.6
2020-06-13,93.7
2020-06-14,93.7
2020-06-15,93.7
2020-06-16,93.8
2020-06-17,93.8
2020-06-18,93.9
2020-06-19,94.0
2020-06-20,94.0
2020-06-21,94.1
2020-06-22,94.2
2020-06-23,94.2
2020-06-24,94.3
2020-06-25,94.4
2020-06-26,94.5
2020-06-27,94.6
2020-06-28,94.7
2020-06-29,94.7
2020-06-30,94.8
2020-07-01,94.9
2020-07-02,95.0
2020-07-03,95.1
2020-07-04,95.2
2020-07-05,95.3
2020-07-06,95.4
2020-07-07,95.5
2020-07-08,95.6
2020-07-09,95.7
2020-07-10,95.8
2020-07-11,95.9
2020-07-12,96.0
2020-07-13,96.1
2020-07-14,96.2
2020-07-15,96.2
2020-07-16,96.3
2020-07-17,96.4
2020-07-18,96.5
2020-07-19,96.6
2020-07-20,96.7
2020-07-21,96.7
2020-07-22,96.8
2020-07-23,96.9
2020-07-24,97.0
2020-07-25,97.0
2020-07-26,97.1
2020-07-27,97.2
2020-07-28,97.2
2020-07-29,97.3
2020-07-30,97.3
2020-07-31,97.4
2020-08-01,97.5
2020-08-02,97.5
2020-08-03,97.6
2020-08-04,97.6
2020-08-05,97.6
2020-08-06,97.7
2020-08-07,97.7
2020-08-08,97.8
2020-08-09,97.8
2020-08-10,97.8
2020-08-11,97.8
2020-08-12,97.9
2020-08-13,97.9
2020-08-14,97.9
2020-08-15,97.9
2020-08-16,97.9
2020-08-17,98.0
2020-08-18,98.0
2020-08-19,98.0
2020-08-20,98.0
2020-08-21,98.0
2020-08-22,98.0
2020-08-23,98.0
2020-08-24,98.0
2020-08-25,98.0
2020-08-26,98.0
2020-08-27,98.0
2020-08-28,98.0
2020-08-29,98.0
2020-08-30,98.0
2020-08-31,98.0
2020-09-01,98.0
2020-09-02,97.9
2020-09-03,97.9
2020-09-04,97.9
2020-09-05,97.9
2020-09-06,97.9
2020-09-07,97.9
2020-09-08,97.9
2020-09-09,97.9
2020-09-10,97.9
2020-09-11,97.8
2020-09-12,97.8
2020-09-13,97.8
2020-09-14,97.8
2020-09-15,97.8
2020-09-16,97.8
2020-09-17,97.8
2020-09-18,97.8
2020-09-19,97.7
2020-09-20,97.7
2020-09-21,97.7
2020-09-22,97.7
2020-09-23,97.7
2020-09-24,97.7
2020-09-25,97.6
2020-09-26,97.6
2020-09-27,97.6
2020-09-28,97.6
2020-09-29,97.6
2020-09-30,97.6
2020-10-01,97.6
2020-10-02,97.5
2020-10-03,97.5
2020-10-04,97.5
2020-10-05,97.5
2020-10-06,97.5
2020-10-07,97.5
2020-10-08,97.5
2020-10-09,97.5
2020-10-10,97.4
2020-10-11,97.4
2020-10-12,97.4
2020-10-13,97.4
2020-10-14,97.4
2020-10-15,97.4
2020-10-16,97.4
2020-10-17,97.4
2020-10-18,97.4
2020-10-19,97.4
2020-10-20,97.4
2020-10-21,97.4
2020-10-22,97.4
2020-10-23,97.4
2020-10-24,97.4
2020-10-25,97.5
2020-10-26,97.5
2020-10-27,97.5
2020-10-28,97.5
2020-10-29,97.5
2020-10-30,97.5
2020-10-31,97.6
2020-11-01,97.6
2020-11-02,97.6
2020-11-03,97.6
2020-11-04,97.7
2020-11-05,97.7
2020-11-06,97.7
2020-11-07,97.7
2020-11-08,97.8
2020-11-09,97.8
2020-11-10,97.8
2020-11-11,97.9
2020-11-12,97.9
2020-11-13,97.9
2020-11-14,97.9
2020-11-15,98.0
2020-11-16,98.0
2020-11-17,98.0
2020-11-18,98.1
2020-11-19,98.1
2020-11-20,98.1
2020-11-21,98.1
2020-11-22,98.2
2020-11-23,98.2
2020-11-24,98.2
2020-11-25,98.2
2020-11-26,98.3
2020-11-27,98.3
2020-11-28,98.3
2020-11-29,98.3
2020-11-30,98.4
2020-12-01,98.4
2020-12-02,98.4
2020-12-03,98.4
2020-12-04,98.5
2020-12-05,98.5
2020-12-06,98.5
2020-12-07,98.5
2020-12-08,98.6
2020-12-09,98.6
2020-12-10,98.6
2020-12-11,98.6
2020-12-12,98.7
2020-12-13,98.7
2020-12-14,98.7
2020-12-15,98.7
2020-12-16,98.8
2020-12-17,98.8
2020-12-18,98.8
2020-12-19,98.8
2020-12-20,98.9
2020-12-21,98.9
2020-12-22,98.9
2020-12-23,99.0
2020-12-24,99.0
2020-12-25,99.0
2020-12-26,99.1
2020-12-27,99.1
2020-12-28,99.1
2020-12-29,99.2
2020-12-30,99.2
2020-12-31,99.2
2021-01-01,99.3
2021-01-02,99.3
2021-01-03,99.4
2021-01-04,99.4
2021-01-05,99.4
2021-01-06,99.5
2021-01-07,99.5
2021-01-08,99.6
2021-01-09,99.6
2021-01-10,99.6
2021-01-11,99.7
2021-01-12,99.7
2021-01-13,99.8
2021-01-14,99.8
2021-01-15,99.8
2021-01-16,99.9
2021-01-17,99.9
2021-01-18,99.9
2021-01-19,99.9
2021-01-20,100.0
2021-01-21,100.0
2021-01-22,100.0
2021-01-23,100.0
2021-01-24,100.1
2021-01-25,100.1
2021-01-26,100.1
2021-01-27,100.1
2021-01-28,100.1
2021-01-29,100.1
2021-01-30,100.1
2021-01-31,100.1
2021-02-01,100.1
2021-02-02,100.1
2021-02-03,100.1
2021-02-04,100.1
2021-02-05,100.1
2021-02-06,100.1
2021-02-07,100.1
2021-02-08,100.1
2021-02-09,100.1
2021-02-10,100.0
2021-02-11,100.0
2021-02-12,100.0
2021-02-13,100.0
2021-02-14,100.0
2021-02-15,100.0
2021-02-16,99.9
2021-02-17,99.9
2021-02-18,99.9
2021-02-19,99.9
2021-02-20,99.8
2021-02-21,99.8
2021-02-22,99.8
2021-02-23,99.8
2021-02-24,99.7
2021-02-25,99.7
2021-02-26,99.7
2021-02-27,99.6
2021-02-28,99.6
2021-03-01,99.6
2021-03-02,99.5
2021-03-03,99.5
2021-03-04,99.5
2021-03-05,99.4
2021-03-06,99.4
2021-03-07,99.3
2021-03-08,99.3
2021-03-09,99.3
2021-03-10,99.2
2021-03-11,99.2
2021-03-12,99.1
2021-03-13,99.1
2021-03-14,99.0
2021-03-15,99.0
2021-03-16,98.9
2021-03-17,98.9
2021-03-18,98.8
2021-03-19,98.7
2021-03-20,98.7
2021-03-21,98.6
2021-03-22,98.6
2021-03-23,98.5
2021-03-24,98.5
2021-03-25,98.4
2021-03-26,98.3
2021-03-27,98.3
2021-03-28,98.2
2021-03-29,98.2
2021-03-30,98.1
2021-03-31,98.1
2021-04-01,98.0
2021-04-02,98.0
2021-04-03,97.9
2021-04-04,97.9
2021-04-05,97.8
2021-04-06,97.8
2021-04-07,97.7
2021-04-08,97.7
2021-04-09,97.7
2021-04-10,97.6
2021-04-11,97.6
2021-04-12,97.6
2021-04-13,97.5
2021-04-14,97.5
2021-04-15,97.5
2021-04-16,97.5
2021-04-17,97.5
2021-04-18,97.4
2021-04-19,97.4
2021-04-20,97.4
2021-04-21,97.4
2021-04-22,97.4
2021-04-23,97.4
2021-04-24,97.4
2021-04-25,97.4
2021-04-26,97.4
2021-04-27,97.4
2021-04-28,97.4
2021-04-29,97.4
2021-04-30,97.4
2021-05-01,97.4
2021-05-02,97.4
2021-05-03,97.4
2021-05-04,97.4
2021-05-05,97.4
2021-05-06,97.5
2021-05-07,97.5
2021-05-08,97.5
2021-05-09,97.5
2021-05-10,97.5
2021-05-11,97.5
2021-05-12,97.5
2021-05-13,97.5
2021-05-14,97.5
2021-05-15,97.5
2021-05-16,97.5
2021-05-17,97.6
2021-05-18,97.6
2021-05-19,97.6
2021-05-20,97.6
2021-05-21,97.6
2021-05-22,97.6
2021-05-23,97.6
2021-05-24,97.6
2021-05-25,97.6
2021-05-26,97.7
2021-05-27,97.7
2021-05-28,97.7
2021-05-29,97.7
2021-05-30,97.7
2021-05-31,97.7
2021-06-01,97.8
2021-06-02,97.8
2021-06-03,97.8
2021-06-04,97.8
2021-06-05,97.8
2021-06-06,97.9
2021-06-07,97.9
2021-06-08,97.9
2021-06-09,97.9
2021-06-10,97.9
2021-06-11,98.0
2021-06-12,98.0
2021-06-13,98.0
2021-06-14,98.1
2021-06-15,98.1
2021-06-16,98.1
2021-06-17,98.1
2021-06-18,98.2
2021-06-19,98.2
2021-06-20,98.2
2021-06-21,98.3
2021-06-22,98.3
2021-06-23,98.3
2021-06-24,98.4
2021-06-25,98.4
2021-06-26,98.4
2021-06-27,98.5
2021-06-28,98.5
2021-06-29,98.5
2021-06-30,98.6
2021-07-01,98.6
2021-07-02,98.6
2021-07-03,98.7
2021-07-04,98.7
2021-07-05,98.7
2021-07-06,98.8
2021-07-07,98.8
2021-07-08,98.8
2021-07-09,98.9
2021-07-10,98.9
2021-07-11,98.9
2021-07-12,99.0
2021-07-13,99.0
2021-07-14,99.0
2021-07-15,99.1
2021-07-16,99.1
2021-07-17,99.1
2021-07-18,99.2
2021-07-19,99.2
2021-07-20,99.2
2021-07-21,99.3
2021-07-22,99.3
2021-07-23,99.3
2021-07-24,99.3
2021-07-25,99.4
2021-07-26,99.4
2021-07-27,99.4
2021-07-28,99.5
2021-07-29,99.5
2021-07-30,99.5
2021-07-31,99.6
2021-08-01,99.6
2021-08-02,99.6
2021-08-03,99.6
2021-08-04,99.7
2021-08-05,99.7
